,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,14.34,222.23,293.03,230.11,4.75,6.76,53.99,6.51,56.06,1.87,0.7,0.33,0.27,0.82,0.33,0.04,104.55,109.23,4.63
2016-01-01,14.65,237.46,349.91,271.86,165.44,5.71,63.92,7.83,46.61,2.83,0.96,7.94,9.3,18.43,8.17,1.51,156.86,129.15,8.29
2015-01-01,15.56,264.14,295.2,236.09,84.95,5.76,63.36,8.39,43.5,2.85,1.06,19.35,26.58,34.33,17.89,3.22,142.11,93.34,7.64
