,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,24.34,306.53,290.08,180.52,27.21,10.69,34.14,5.19,70.32,5.02,1.22,6.77,8.49,65.82,5.36,5.07,-22.22,31.38,-16.08
2016-01-01,18.83,339.39,426.63,327.01,35.36,13.15,27.75,5.55,65.76,4.72,1.2,9.55,12.4,85.64,7.72,7.41,30.35,65.89,-3.63
2015-01-01,32.45,268.19,239.24,159.7,47.11,16.05,22.74,5.59,65.29,5.47,1.4,14.39,21.19,132.44,10.04,10.21,37.9,75.31,9.5
2014-01-01,34.72,277.2,228.55,161.04,31.08,14.22,25.66,6.4,57.03,5.9,1.54,16.92,26.07,140.67,10.64,10.47,36.76,67.52,11.23
