,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,49.61,2694.98,194.43,46.17,1096.34,14.32,25.48,2.57,142.02,102.04,2.3,0.61,0.95,29.77,0.24,0.37,0.0,0.51,0.0
2016-01-01,33.79,2673.71,280.89,92.56,3181.41,15.06,24.23,2.61,139.84,88.56,2.38,7.03,11.77,65.09,2.86,5.03,0.0,0.0,0.0
2015-01-01,50.0,1856.51,185.7,38.34,1568.0,15.21,23.99,2.31,158.0,83.51,2.26,3.68,7.1,43.84,1.52,2.67,0.0,0.0,0.0
