,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,30.24,516.36,261.94,172.71,63.19,3.91,93.35,4.1,89.02,8.16,1.16,2.07,2.82,6.1,1.76,0.48,-18.96,179.13,-10.42
2016-01-01,25.66,499.2,301.86,204.21,42357.5,4.46,81.83,4.06,89.9,6.41,1.01,4.17,5.35,10.42,4.12,0.88,-12.36,304.38,-8.51
2015-01-01,18.13,489.42,401.49,297.68,0.0,3.86,94.55,3.67,99.45,5.75,0.73,4.41,5.22,14.42,6.08,0.7,107.88,492.83,16.07
2014-01-01,13.91,849.85,610.19,504.43,0.0,3.82,95.54,4.43,82.39,7.53,0.79,6.66,7.91,11.56,8.41,0.96,76.06,180.96,11.78
2013-01-01,17.68,758.61,464.1,374.35,-58.54,3.36,108.63,3.61,101.1,29.05,3.17,-19.1,-24.21,-7.42,-5.81,-0.78,93.58,139.08,18.84
2012-01-01,21.73,630.11,547.72,339.85,-28.85,3.06,119.28,2.83,128.97,7.43,1.0,-7.43,-10.28,-4.96,-8.58,-1.39,120.17,127.6,18.1
2011-01-01,29.73,867.66,292.73,177.21,-8.57,3.11,117.36,2.63,138.78,12.05,1.01,-3.48,-5.37,20.34,-3.94,-0.81,68.62,96.48,18.93
2010-01-01,27.76,2033.44,509.58,259.55,25.8,3.43,106.41,3.01,121.26,27.67,1.15,4.8,6.23,17.23,3.91,0.98,-31.67,30.97,-10.69
2009-01-01,23.83,2457.3,350.5,219.88,24.09,3.21,113.7,2.93,124.57,33.22,1.03,7.25,9.29,16.59,6.37,1.44,61.74,51.04,14.99
2008-01-01,25.29,2035.71,308.28,169.49,12.74,2.8,130.35,2.9,125.86,31.32,1.16,5.19,6.84,15.08,4.51,1.06,69.64,12.95,18.33
2007-01-01,12.7,2331.25,340.12,203.25,20.68,2.85,128.07,3.48,104.88,38.08,1.24,8.12,12.57,23.95,6.16,2.01,-26.92,-24.36,-10.7
2006-01-01,44.31,2611.64,208.78,125.73,48.5,2.4,152.08,4.18,87.32,50.79,1.13,6.75,11.49,21.83,5.47,1.72,-15.81,-29.83,-14.1
2005-01-01,40.09,2375.17,223.41,177.61,61.34,2.77,131.76,6.16,59.25,47.05,1.2,12.12,19.3,31.02,7.99,3.14,-7.09,-54.17,-4.49
2004-01-01,34.97,1550.94,263.1,174.33,105.6,3.26,111.96,4.89,74.64,30.82,1.34,11.97,17.47,32.92,7.83,2.47,-9.01,-75.49,-4.23
2003-01-01,27.76,3646.82,313.98,215.52,3960.7,3.78,96.56,4.81,75.88,66.01,1.32,12.86,17.18,27.53,8.65,2.44,-0.99,-108.52,-0.35
2002-01-01,21.82,3534.73,355.27,219.61,944.78,3.78,96.56,3.63,100.55,41.87,0.93,5.58,6.7,4.75,5.43,0.84,-37.64,-124.25,-9.79
2001-01-01,10.56,641.61,702.09,473.16,-230.99,2.78,131.29,2.04,178.92,3.13,0.44,-1.09,-1.21,-5.49,-2.49,-0.15,-177.46,-155.87,-20.22
