,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,54.25,131.24,114.85,95.05,267.00,2.45,148.97,11.68,31.25,1.24,0.62,2.65,3.65,20.86,2.67,1.56,41.27,41.97,16.09
2016,54.90,137.89,135.79,106.71,6.28,3.22,113.35,13.64,26.75,1.12,0.62,5.41,9.87,55.66,7.18,4.48,-11.32,19.05,-4.74
2015,53.39,75.85,53.63,37.94,10.12,4.72,77.33,11.23,32.50,1.34,0.67,4.39,8.55,53.15,6.16,3.60,-5.48,58.94,-6.79
