,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,26.74,211.49,247.78,200.56,51.53,4.09,89.24,6.38,57.21,2.12,0.81,4.43,5.8,8.67,5.39,0.74,14.77,103.2,2.61
2016-01-01,22.68,200.32,279.16,208.93,21.51,4.55,80.21,5.99,60.93,2.52,1.0,0.75,0.99,1.98,0.72,0.08,84.56,165.0,9.94
2015-01-01,10.46,228.21,555.67,468.38,-18.8,3.45,105.79,7.9,46.2,1.62,0.66,-1.19,-1.41,-1.57,-1.89,-0.16,-13.84,97.76,-1.2
2014-01-01,11.96,212.64,451.81,346.49,4.93,4.94,73.88,9.82,37.16,1.68,0.67,1.58,1.58,1.9,1.88,0.18,116.01,125.95,7.74
2013-01-01,27.49,190.35,210.35,172.38,-2.24,4.58,79.69,7.74,47.15,1.4,0.57,-1.32,-2.6,-2.81,-3.31,-0.29,39.63,80.14,7.6
2012-01-01,26.89,228.56,736.92,554.34,-5.78,4.85,75.25,6.02,60.63,1.15,0.5,-2.8,-4.46,-4.48,-6.53,-0.51,102.16,70.28,3.7
2011-01-01,25.71,199.61,728.52,506.14,4.87,5.35,68.22,5.96,61.24,1.42,0.59,1.29,1.27,0.27,1.73,0.15,170.55,59.4,5.6
2010-01-01,11.59,245.25,443.66,323.35,36.7,5.54,65.88,7.62,47.9,1.81,0.71,6.15,7.06,5.45,8.48,0.84,97.58,73.12,7.05
2009-01-01,18.84,194.71,198.85,153.26,-15.0,4.73,77.16,6.89,52.97,0.83,0.38,-5.65,-7.55,-12.92,-15.74,-0.85,-2.91,64.59,-0.39
2008-01-01,21.64,180.02,502.23,374.92,-5.1,5.3,68.86,7.29,50.06,0.85,0.42,-2.71,-4.53,-10.02,-7.76,-0.55,153.7,83.1,4.91
2007-01-01,33.92,167.62,230.0,189.45,10.94,3.93,92.87,6.35,57.48,1.03,0.49,5.12,6.89,7.64,9.6,0.89,83.99,86.29,9.9
2006-01-01,30.46,162.99,201.0,165.49,47.96,4.25,85.88,7.58,48.15,1.51,0.67,16.51,23.33,32.26,24.0,3.02,91.65,92.57,18.09
2005-01-01,31.08,204.03,362.43,321.46,8.19,3.07,118.89,7.29,50.06,1.29,0.5,3.49,4.52,5.72,6.19,0.53,77.68,103.01,8.64
2004-01-01,33.31,255.89,649.82,561.48,15.37,4.36,83.71,9.08,40.19,1.59,0.61,7.17,10.09,12.07,11.0,1.12,106.26,63.02,7.74
2003-01-01,33.8,222.11,783.11,715.48,-0.87,4.65,78.49,13.38,27.27,1.21,0.59,-0.22,-0.61,-1.09,-0.76,-0.07,154.27,36.89,9.02
2002-01-01,16.94,143.79,238.56,204.99,107.69,6.54,55.81,16.56,22.04,1.27,0.78,6.48,7.36,8.53,8.28,0.76,80.81,24.53,12.31
2001-01-01,6.68,141.42,465.78,369.72,-466.5,4.33,84.29,14.38,25.38,0.72,0.47,-4.96,-5.73,-6.67,-10.76,-0.58,109.66,11.47,6.47
2000-01-01,15.96,130.51,207.76,176.02,58.73,5.21,70.05,13.67,26.7,0.65,0.38,3.29,3.84,0.28,8.58,0.36,18.8,3.63,3.08
1999-01-01,15.08,180.72,295.74,276.53,-256.75,1.94,188.14,3.04,120.06,0.04,0.01,-11.92,-13.16,-11.83,-1054.22,-1.2,0.0,0.0,0.0
1998-01-01,0.52,30359.29,17386.82,17292.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.44,-12.51,-7.09,0.0,-0.59,0.0,0.0,0.0
