,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,42.28,2189.55,197.73,188.58,7.97,5.14,71.01,,,11.94,0.25,5.25,7.66,44.48,18.23,3.12,4.62,66.22,-4.23
2016,37.23,65025.74,351.78,334.52,7.93,4.92,74.18,,,198.54,0.23,6.98,10.23,50.34,26.64,3.95,42.42,,
2015,41.27,97620.77,315.60,301.79,5.54,3.51,103.98,,,205.28,0.17,5.57,7.93,41.61,27.54,3.03,15.83,,
2014,42.75,80373.52,412.79,412.79,5.02,2.21,165.15,,,177.81,0.17,5.48,7.88,38.95,26.34,2.83,111.16,,4.48
2013,44.29,176651.35,318.26,318.26,5.07,1.33,274.43,,,290.59,0.17,6.74,10.47,51.02,31.35,3.72,78.69,,6.79
