,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,44.70,174.18,212.89,183.16,8.96,4.40,82.95,7.32,49.86,1.25,0.56,9.87,17.46,17.10,16.87,3.57,71.26,101.68,5.21
2016,48.00,197.31,363.74,320.43,12.76,4.58,79.69,7.77,46.97,1.33,0.57,4.19,6.54,19.17,6.67,1.78,76.08,113.18,2.39
2015,38.21,175.92,270.33,238.79,23.54,4.53,80.57,8.89,41.05,1.43,0.61,7.24,11.36,31.94,11.41,2.54,93.94,130.13,4.74
2014,39.76,193.26,245.80,222.23,37.07,4.89,74.64,9.92,36.79,1.66,0.68,12.18,19.73,55.35,17.40,3.86,70.02,157.01,6.45
2013,40.27,176.95,234.12,211.51,19.57,4.70,77.65,9.53,38.30,1.52,0.65,9.62,16.16,39.76,13.96,2.76,80.24,156.32,7.74
2012,46.24,189.01,233.02,202.78,25.72,5.18,70.46,9.47,38.54,1.67,0.68,5.24,8.75,16.88,6.59,1.33,85.91,138.98,8.47
