,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,66.62,878.93,112.24,84.57,80.79,2.26,161.5,2.52,144.84,8.55,0.51,1.29,-2.44,-4.96,-1.59,-1.0,6.05,51.18,11.4
2016-01-01,66.05,1014.19,142.96,111.33,3.34,2.24,162.94,2.13,171.36,8.39,0.54,5.04,8.7,57.23,5.51,3.65,18.37,0.25,0.27
2015-01-01,64.33,729.07,117.97,81.07,0.66,2.57,142.02,2.1,173.8,11.8,0.62,0.62,-3.33,-7.13,-1.89,-1.38,9.98,0.06,0.22
2014-01-01,65.05,1535.28,144.54,107.39,3.16,2.74,133.21,2.31,158.0,18.7,0.69,4.58,7.15,42.66,3.99,3.03,5.61,0.0,7.96
2013-01-01,55.94,1178.86,123.76,82.32,2.98,2.57,142.02,2.41,151.45,17.21,0.73,4.7,6.68,32.07,3.97,2.61,0.0,0.0,0.0
2012-01-01,57.04,705.4,113.45,80.14,4.52,2.95,123.72,3.15,115.87,14.98,0.96,10.32,19.33,85.58,8.61,5.29,2.64,0.0,2.85
2011-01-01,59.4,784.9,125.06,90.97,5.88,2.95,123.72,3.03,120.46,13.73,0.96,10.58,24.31,64.13,9.57,4.46,0.85,0.0,0.84
