,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,36.34,88.85,40.76,34.18,38.79,67.62,5.39,96.26,3.79,0.90,0.81,12.48,19.79,42.06,14.93,3.48,92.48,156.88,10.58
2016,40.79,89.13,43.15,35.09,20.03,67.25,5.42,77.47,4.71,0.76,0.70,10.58,20.08,35.61,14.46,3.18,84.52,154.93,8.85
2015,58.87,71.03,18.30,14.66,14.09,73.13,4.99,76.96,4.74,0.67,0.61,9.82,24.13,36.49,14.90,3.02,46.13,124.88,15.08
